experiment_name,variant,customer_id,conversion,order_value
Checkout_Button_Color,Blue_Button,10235,0,3072.17
Checkout_Button_Color,Blue_Button,1398,0,2470.92
Checkout_Button_Color,Control,9582,0,1018.66
Checkout_Button_Color,Control,4102,0,5923.75
Checkout_Button_Color,Blue_Button,2219,0,6254.52
Checkout_Button_Color,Blue_Button,9379,0,2500.11
Checkout_Button_Color,Blue_Button,4066,0,5653.08
Checkout_Button_Color,Blue_Button,446,0,2125.72
Checkout_Button_Color,Control,3324,0,6970.57
Checkout_Button_Color,Blue_Button,1373,0,4260.18
Checkout_Button_Color,Control,10307,0,2279.48
Checkout_Button_Color,Control,2307,0,992.9
Checkout_Button_Color,Blue_Button,1189,0,3501.04
Checkout_Button_Color,Control,4789,0,4264.18
Checkout_Button_Color,Control,981,0,3242.87
Checkout_Button_Color,Control,10929,0,6103.92
Checkout_Button_Color,Blue_Button,6512,0,6303.73
Checkout_Button_Color,Control,7697,0,1327.61
Checkout_Button_Color,Control,7630,0,4056.31
Checkout_Button_Color,Control,8253,0,3136.63
Checkout_Button_Color,Control,3697,0,5808.68
Checkout_Button_Color,Blue_Button,7641,0,5525.69
Checkout_Button_Color,Blue_Button,2136,0,1337.27
Checkout_Button_Color,Control,7765,0,2909.89
Checkout_Button_Color,Blue_Button,8707,0,1799.18
Checkout_Button_Color,Blue_Button,6361,0,657.93
Checkout_Button_Color,Control,781,0,3094.06
Checkout_Button_Color,Blue_Button,5141,0,1218.74
Checkout_Button_Color,Blue_Button,8265,0,991.06
Checkout_Button_Color,Control,11539,0,6972.23
Checkout_Button_Color,Control,6342,0,1382.23
Checkout_Button_Color,Control,1226,0,6765.57
Checkout_Button_Color,Control,3564,0,3884.87
Checkout_Button_Color,Control,4425,1,1809.7
Checkout_Button_Color,Blue_Button,4698,0,6369.03
Checkout_Button_Color,Blue_Button,6453,0,6259.54
Checkout_Button_Color,Control,10070,0,1661.28
Checkout_Button_Color,Control,5275,0,2784.13
Checkout_Button_Color,Control,916,1,3672.27
Checkout_Button_Color,Blue_Button,6322,0,6002.5
Checkout_Button_Color,Blue_Button,11257,0,2527.25
Checkout_Button_Color,Control,6261,1,2387.23
Checkout_Button_Color,Blue_Button,8634,0,4087.16
Checkout_Button_Color,Control,1871,0,1626.99
Checkout_Button_Color,Blue_Button,11272,0,2177.63
Checkout_Button_Color,Blue_Button,853,0,6559.13
Checkout_Button_Color,Control,7465,1,3232.79
Checkout_Button_Color,Blue_Button,3545,0,2809.02
Checkout_Button_Color,Control,1648,1,1449.18
Checkout_Button_Color,Control,6677,0,3000.77
Checkout_Button_Color,Blue_Button,11365,0,679
Checkout_Button_Color,Blue_Button,8489,0,5874.78
Checkout_Button_Color,Control,11074,0,1947.05
Checkout_Button_Color,Blue_Button,2732,0,4524.61
Checkout_Button_Color,Blue_Button,5022,0,5546.21
Checkout_Button_Color,Control,10083,0,744.94
Checkout_Button_Color,Control,10846,0,1044.28
Checkout_Button_Color,Blue_Button,8287,0,5425.31
Checkout_Button_Color,Control,1017,0,2921.32
Checkout_Button_Color,Control,4394,0,2970.68
Checkout_Button_Color,Blue_Button,1526,1,6314.05
Checkout_Button_Color,Control,8827,0,1726.2
Checkout_Button_Color,Blue_Button,5738,0,6979.82
Checkout_Button_Color,Blue_Button,3399,0,4795.56
Checkout_Button_Color,Blue_Button,7446,0,1374.15
Checkout_Button_Color,Control,2938,0,5364.59
Checkout_Button_Color,Blue_Button,6180,0,5322.57
Checkout_Button_Color,Blue_Button,2258,0,5427.13
Checkout_Button_Color,Control,977,0,889.71
Checkout_Button_Color,Control,6638,1,3277.08
Checkout_Button_Color,Control,8344,0,3812.83
Checkout_Button_Color,Control,2579,0,5024.79
Checkout_Button_Color,Control,9727,0,1390.36
Checkout_Button_Color,Control,2947,0,4114.33
Checkout_Button_Color,Blue_Button,770,0,6596.34
Checkout_Button_Color,Control,11233,0,5442.3
Checkout_Button_Color,Control,5861,0,4511.81
Checkout_Button_Color,Control,9248,0,3238.96
Checkout_Button_Color,Blue_Button,4935,0,6627.8
Checkout_Button_Color,Control,8162,0,5022.6
Checkout_Button_Color,Blue_Button,8823,0,2058.88
Checkout_Button_Color,Control,7571,0,6678.01
Checkout_Button_Color,Control,3168,0,2736.66
Checkout_Button_Color,Control,6107,0,4319.79
Checkout_Button_Color,Blue_Button,5163,0,2817.49
Checkout_Button_Color,Control,11902,0,3752.78
Checkout_Button_Color,Blue_Button,5214,0,5405.54
Checkout_Button_Color,Blue_Button,8501,0,6460.01
Checkout_Button_Color,Control,6759,0,2634.53
Checkout_Button_Color,Control,8881,0,2286.84
Checkout_Button_Color,Control,6551,0,5872.68
Checkout_Button_Color,Blue_Button,1960,1,1182.5
Checkout_Button_Color,Control,11691,0,1649.68
Checkout_Button_Color,Blue_Button,11728,0,5925.58
Checkout_Button_Color,Control,2906,0,2576.48
Checkout_Button_Color,Control,7956,0,5858.95
Checkout_Button_Color,Blue_Button,7153,1,2137.93
Checkout_Button_Color,Blue_Button,2861,0,6568.42
Checkout_Button_Color,Control,3875,0,1215.02
Checkout_Button_Color,Blue_Button,10550,0,6760.05
Checkout_Button_Color,Control,1448,0,6863.61
Checkout_Button_Color,Control,8168,0,5159.04
Checkout_Button_Color,Blue_Button,4419,0,6404.68
Checkout_Button_Color,Control,4734,0,5688.8
Checkout_Button_Color,Blue_Button,7199,0,1775.54
Checkout_Button_Color,Control,1496,0,6506
Checkout_Button_Color,Blue_Button,7025,0,2674.33
Checkout_Button_Color,Blue_Button,2194,0,4244.82
Checkout_Button_Color,Blue_Button,6970,0,4387.54
Checkout_Button_Color,Control,5783,0,4389.5
Checkout_Button_Color,Blue_Button,1379,0,4195.59
Checkout_Button_Color,Control,3499,1,2820.23
Checkout_Button_Color,Control,8927,0,817.58
Checkout_Button_Color,Control,10908,0,3765.31
Checkout_Button_Color,Blue_Button,11373,0,726.84
Checkout_Button_Color,Control,3395,0,534.41
Checkout_Button_Color,Blue_Button,643,0,1330.26
Checkout_Button_Color,Blue_Button,10115,0,4075.11
Checkout_Button_Color,Control,7492,0,2415.56
Checkout_Button_Color,Blue_Button,3334,0,5872.42
Checkout_Button_Color,Blue_Button,10781,0,1832.33
Checkout_Button_Color,Blue_Button,9166,0,828.58
Checkout_Button_Color,Control,6243,0,3573.48
Checkout_Button_Color,Control,8789,0,4494.38
Checkout_Button_Color,Blue_Button,8630,0,2636.79
Checkout_Button_Color,Control,10369,0,5915.9
